station,latitude,longitude,elevation
CWXC,48.8942,-71.0317,300.0
CWYJ,48.4569,-123.3047,62.41
CWYY,49.0283,-119.441,281.98
CWZA,49.243,-121.7601,15.0
CWZL,53.0303,-131.601,-44.0
CXCA,49.1539,-88.3447,228.0
CXCK,62.115,-136.1919,540.0
CXDK,61.2567,-124.4683,283.0
CXDP,54.3167,-113.95,614.0
CXEC,53.5731,-113.5167,671.0
CXET,44.2333,-79.7833,251.0
CXHA,42.0331,-82.896,191.0
CXIB,46.6667,-60.4,8.0
CXKA,49.4064,-82.4436,218.0
CXKE,45.0,-75.6333,99.0
CXKI,48.15,-80.0,324.0
CXKT,45.0667,-64.4833,49.0
CXMD,49.1878,-98.0839,301.0
CXO,30.3524,-95.4145,75.0
CXTD,45.6083,-61.6797,68.0
CXTO,43.6667,-79.4,113.0
CXTV,68.7423,-133.4991,91.0
CXVN,43.1833,-79.4,79.0
CXY,40.2171,-76.8515,106.0
CXZV,50.2167,-66.25,52.0
CYAM,46.4833,-84.5094,192.0
CYBC,49.1325,-68.2044,22.0
CYBG,48.3339,-70.9869,159.0
CYBL,49.9508,-125.2708,106.0
CYBR,49.91,-99.9519,409.0
CYBW,51.1031,-114.3744,1200.0
CYCD,49.0516,-123.8741,30.0
CYCG,49.2964,-117.6325,495.0
CYCK,42.3062,-82.0817,194.0
CYCP,52.129,-119.2898,683.0
CYCQ,55.6872,-121.6267,609.0
CYDC,49.4667,-120.5167,700.0
CYDF,49.2109,-57.3975,22.0
CYED,53.6679,-113.4725,688.0
CYEG,53.3097,-113.5797,723.0
CYEN,49.2103,-102.9658,581.0
CYEV,68.3042,-133.4828,68.0
CYFS,61.7603,-121.2367,169.0
CYGE,51.2992,-116.9822,785.0
CYGK,44.2253,-76.5969,93.0
CYGP,48.7769,-64.4781,33.0
CYGR,47.4247,-61.7781,10.0
CYGV,50.2819,-63.6114,33.0
CYGW,55.2819,-77.7653,12.0
CYHE,49.3699,-121.4936,39.0
CYHM,43.172,-79.9339,238.0
CYHU,45.5167,-73.4167,27.0
CYHY,60.8397,-115.7828,166.0
CYHZ,44.8808,-63.5086,145.0
CYJT,48.5453,-58.5639,26.0
CYKA,50.7022,-120.4419,346.0
CYKF,43.4616,-80.3857,317.0
CYKY,51.5175,-109.1808,694.0
CYLD,47.82,-83.3467,447.0
CYLL,53.3121,-110.073,669.0
CYLW,49.9535,-119.3748,430.0
CYMM,56.6533,-111.2219,369.0
CYMX,45.6795,-74.0387,82.0
CYNA,50.19,-61.7889,11.0
CYND,45.5217,-75.5636,64.0
CYNE,53.9583,-97.8442,223.0
CYNM,49.7617,-77.8028,281.0
CYOD,54.4072,-110.2783,544.0
CYOO,43.9228,-78.8833,139.0
CYOW,45.3225,-75.6692,114.0
CYPA,53.2142,-105.6728,428.0
CYPE,56.2269,-117.4472,571.0
CYPQ,44.23,-78.3633,191.0
CYPR,54.2861,-130.4447,34.0
CYPW,49.8342,-124.5,130.0
CYQA,44.9747,-79.3033,282.0
CYQB,46.7911,-71.3933,73.0
CYQF,52.1822,-113.8944,905.0
CYQG,42.266,-82.9604,190.0
CYQH,60.1164,-128.8225,690.0
CYQK,49.7903,-94.3653,411.0
CYQM,46.1039,-64.6878,71.0
CYQQ,49.7108,-124.8867,24.0
CYQR,50.4267,-104.6702,577.0
CYQU,55.1797,-118.885,669.0
CYQV,51.2647,-102.4617,498.0
CYQW,52.7692,-108.2436,548.0
CYQX,48.9457,-54.5757,151.0
CYQY,46.1614,-60.0478,62.0
CYRJ,48.52,-72.2656,179.0
CYRL,51.0669,-93.7931,383.0
CYRQ,46.3528,-72.6794,56.62
CYSB,46.6261,-80.8016,348.0
CYSJ,45.3181,-65.8856,109.0
CYSM,60.0264,-111.929,203.0
CYSN,43.1917,-79.1717,98.0
CYTR,44.1189,-77.5281,86.0
CYUL,45.4683,-73.7414,36.0
CYUY,48.2061,-78.8356,301.0
CYVC,55.1514,-105.2619,379.0
CYVL,67.0212,-126.1286,246.0
CYVR,49.183,-123.1682,2.0
CYVV,44.7458,-81.1072,222.0
CYWA,45.9476,-77.3112,130.0
CYWH,48.4235,-123.3867,10.0
CYWL,52.1863,-122.0656,940.0
CYXC,49.6122,-115.7819,939.0
CYXH,50.0189,-110.7208,716.0
CYXL,50.1139,-91.9053,390.0
CYXR,47.695,-79.8489,243.0
CYXT,54.4664,-128.5775,217.0
CYXU,43.0356,-81.1539,278.0
CYXX,49.0274,-122.3771,58.0
CYXY,60.7094,-135.0689,703.0
CYYB,46.3636,-79.4228,371.0
CYYC,51.1139,-114.0203,1084.0
CYYD,54.8237,-127.1866,523.0
CYYG,46.2886,-63.1286,54.0
CYYU,49.4167,-82.4667,227.0
CYYY,48.6086,-68.2081,52.0
CYYZ,43.6772,-79.6306,173.0
CYZF,62.4628,-114.4403,206.0
CYZP,53.2542,-131.8139,6.0
CYZT,50.6803,-127.3661,22.0
CYZU,54.1439,-115.7867,782.0
CYZX,44.9846,-64.912,28.0
CZBF,47.6292,-65.7483,59.0
CZEV,68.3167,-133.5167,103.0
CZFS,61.7603,-121.2367,168.0
CZMU,53.5667,-112.3,683.0
CZPC,49.5206,-113.9972,1190.0
CZSM,60.0261,-111.9294,203.0
CZTB,48.3694,-89.3272,199.0
D50,48.9285,-103.2973,594.0
D95,43.0666,-83.2723,253.04
DAB,29.1799,-81.0581,11.0
DAL,32.8471,-96.8518,148.0
DAW,43.28,-70.92,104.0
